Comparison Type,Transformation Type,Step,Average_SSIM_DINO,MMD_ViT,MMD_BLIP2,Wasserstein_Distance_BLIP2,Average_Cosine_Similarity_BLIP2
Positive Sample,cropping,cropping_30,0.38159318408708154,0.028823375701904297,0.08631908893585205,27.51623073577881,0.5573071
Positive Sample,cropping,cropping_10,0.5255171223133192,0.009986519813537598,0.019270896911621094,13.881179065704343,0.5723898
Positive Sample,cropping,cropping_20,0.4380554756256153,0.022075176239013672,0.03731954097747803,19.32002701759339,0.5687535
Positive Sample,color_adjustment,color_adjustment_1.5,0.9735226383153255,0.0019893646240234375,0.0016602277755737305,4.762595279216767,0.5874414
Positive Sample,color_adjustment,color_adjustment_1.0,1.0,0.0,0.0,0.007682299185544256,0.5854697
Positive Sample,color_adjustment,color_adjustment_2.0,0.9347493090761855,0.005912065505981445,0.004875540733337402,7.789921617507933,0.5875024
Positive Sample,color_adjustment,color_adjustment_0.5,0.9795049446100896,0.0049169063568115234,0.003525376319885254,7.626608738899232,0.5823452
Positive Sample,scaling,scaling_90,0.9790360330041687,0.005467057228088379,0.021709561347961426,10.797131085395808,0.56945467
Positive Sample,scaling,scaling_120,0.9923782208885369,0.002166152000427246,0.008420348167419434,7.388646173477175,0.57797956
Positive Sample,scaling,scaling_110,0.9914579769709121,0.0020873546600341797,0.007952451705932617,7.271311159133913,0.57836336
Positive Sample,scaling,scaling_100,1.0,0.0,0.0,0.007682299185544256,0.5854697
Positive Sample,scaling,scaling_80,0.9638982983365497,0.009918808937072754,0.03181874752044678,11.977069835662844,0.5669804
Positive Sample,adding_noise,adding_noise_30,0.8605131183514989,0.04572904109954834,0.03904449939727783,13.676055269241335,0.5812942
Positive Sample,adding_noise,adding_noise_90,0.7076029299897931,0.07368695735931396,0.06469273567199707,17.33088267326355,0.56873816
Positive Sample,adding_noise,adding_noise_70,0.7480391332020422,0.0697019100189209,0.05898547172546387,16.410559053421025,0.57202065
Positive Sample,adding_noise,adding_noise_40,0.8274004302675138,0.055264949798583984,0.045479416847229004,14.581077890396118,0.57787246
Positive Sample,adding_noise,adding_noise_50,0.797974081410513,0.05919909477233887,0.05088043212890625,15.262500362396247,0.57566065
Positive Sample,adding_noise,adding_noise_100,0.6897763598070219,0.07193386554718018,0.06851410865783691,17.782883062362668,0.56784344
Positive Sample,adding_noise,adding_noise_60,0.7719530015667,0.06472742557525635,0.05523669719696045,16.02184770584106,0.5737045
Positive Sample,adding_noise,adding_noise_20,0.8985641357271583,0.03316640853881836,0.02918267250061035,12.28323780059815,0.58543855
Positive Sample,adding_noise,adding_noise_80,0.7270138297085887,0.07183921337127686,0.062042832374572754,16.841442527770994,0.5701967
Positive Sample,adding_noise,adding_noise_10,0.9434440807965779,0.016750335693359375,0.017902493476867676,10.214107346534727,0.5897701
Positive Sample,rotation,rotation_-90,0.37213518910636006,0.07651257514953613,0.02066636085510254,20.906038999557502,0.584952
Positive Sample,rotation,rotation_10,0.48915606463988537,0.04780757427215576,0.060634732246398926,15.345192327499385,0.5812255
Positive Sample,rotation,rotation_-30,0.365491390190465,0.0577545166015625,0.06943821907043457,17.71361968994141,0.58174014
Positive Sample,rotation,rotation_20,0.41263950734366966,0.05292963981628418,0.06528329849243164,16.65091526985169,0.5818012
Positive Sample,rotation,rotation_80,0.3581589908526412,0.11441433429718018,0.09274590015411377,25.249186401367183,0.56823516
Positive Sample,rotation,rotation_60,0.32970690756490684,0.08854007720947266,0.08709359169006348,23.915253343582155,0.5730597
Positive Sample,rotation,rotation_0,1.0,0.0,0.0,0.007682299185544256,0.5854697
Positive Sample,rotation,rotation_-40,0.3393670570656992,0.07964563369750977,0.0773777961730957,19.856334123611447,0.57967377
Positive Sample,rotation,rotation_50,0.3284529869629063,0.08899235725402832,0.08265793323516846,21.907911291122424,0.57698375
Positive Sample,rotation,rotation_-70,0.34170051181442107,0.10736310482025146,0.09413611888885498,25.30797368049621,0.5694292
Positive Sample,rotation,rotation_40,0.3396221354930926,0.07710742950439453,0.07721447944641113,19.961743927001947,0.580586
Positive Sample,rotation,rotation_-60,0.33099688266098043,0.09308350086212158,0.08947229385375977,24.56774188041687,0.57113606
Positive Sample,rotation,rotation_70,0.3449852582690407,0.10688793659210205,0.09307670593261719,25.139575567245487,0.5680881
Positive Sample,rotation,rotation_-50,0.32552813749898113,0.0887824296951294,0.08326160907745361,21.902685451507573,0.5767809
Positive Sample,rotation,rotation_30,0.3711827608,0.0573500394821167,0.06976616382598877,18.03042042732239,0.5817011
Positive Sample,rotation,rotation_-10,0.4933124846702782,0.046328186988830566,0.06120133399963379,15.361827974319459,0.5808125
Positive Sample,rotation,rotation_90,0.3700557295288101,0.07879412174224854,0.020214438438415527,20.60235472679138,0.5850177
Positive Sample,rotation,rotation_-80,0.3563139451436388,0.1132422685623169,0.0944833755493164,25.803845796585072,0.5666613
Positive Sample,rotation,rotation_-20,0.40942083635837684,0.04998505115509033,0.0659787654876709,16.705688610076905,0.5810062
